frequency,raw
931.28,-0.33
940.59,-0.24
950.00,-0.17
959.50,-0.12
969.09,-0.09
978.78,-0.06
988.57,-0.03
998.46,-0.00
1008.44,0.02
1018.53,0.05
1028.71,0.08
1039.00,0.11
1049.39,0.13
1059.88,0.19
1070.48,0.24
1081.19,0.28
1092.00,0.31
1102.92,0.36
1113.95,0.39
1125.09,0.40
1136.34,0.41
1147.70,0.43
1159.18,0.45
1170.77,0.48
1182.48,0.58
1194.30,0.65
1206.25,0.74
1218.31,0.83
1230.49,0.90
1242.80,0.94
1255.22,0.97
1267.78,1.01
1280.45,1.05
1293.26,0.93
1306.19,0.63
1319.25,0.25
1332.45,-0.01
1345.77,-0.44
1359.23,-0.88
1372.82,-0.98
1386.55,-0.92
1400.41,-0.82
1414.42,-0.65
1428.56,-0.44
1442.85,0.09
1457.28,0.64
1471.85,0.90
1486.57,1.22
1501.43,1.50
1516.45,1.74
1531.61,2.05
1546.93,2.18
1562.40,2.28
1578.02,2.37
1593.80,2.55
1609.74,2.79
1625.84,3.01
1642.10,3.20
1658.52,3.58
1675.10,3.75
1691.85,3.92
1708.77,4.09
1725.86,4.22
1743.12,4.37
1760.55,4.54
1778.15,4.65
1795.94,4.75
1813.90,4.91
1832.03,5.27
1850.36,5.48
1868.86,5.61
1887.55,5.93
1906.42,6.12
1925.49,6.30
1944.74,6.51
1964.19,6.65
1983.83,6.79
2003.67,7.01
2023.71,7.16
2043.94,7.27
2064.38,7.41
2085.03,7.62
2105.88,7.80
2126.94,7.96
2148.20,8.19
2169.69,8.37
2191.38,8.52
2213.30,8.78
2235.43,8.92
2257.78,9.01
2280.36,9.10
2303.17,9.19
2326.20,9.23
2349.46,9.33
2372.95,9.56
2396.68,9.81
2420.65,10.02
2444.86,10.17
2469.31,10.28
2494.00,10.37
2518.94,10.45
2544.13,10.52
2569.57,10.56
2595.27,10.60
2621.22,10.65
2647.43,10.69
2673.90,10.69
2700.64,10.69
2727.65,10.67
2754.93,10.61
2782.48,10.52
2810.30,10.41
2838.40,10.30
2866.79,10.17
2895.46,10.01
2924.41,9.75
2953.65,9.51
2983.19,9.11
3013.02,8.78
3043.15,8.45
3073.58,7.87
3104.32,7.30
3135.36,6.70
3166.72,6.08
3198.38,5.37
3230.37,4.71
3262.67,4.06
3295.30,3.43
3328.25,2.95
3361.53,2.87
3395.15,3.00
3429.10,3.20
3463.39,3.22
3498.03,3.06
3533.01,2.79
3568.34,2.55
3604.02,2.32
3640.06,2.00
3676.46,1.56
3713.22,1.32
3750.36,1.07
3787.86,0.77
3825.74,0.71
3864.00,0.71
3902.64,0.80
3941.66,1.06
3981.08,1.41
4020.89,1.79
4061.10,2.12
4101.71,2.49
4142.73,2.79
4184.15,3.25
4226.00,3.47
4268.26,3.73
4310.94,4.04
4354.05,4.35
4397.59,4.80
4441.56,5.36
4485.98,5.99
4530.84,6.61
4576.15,7.05
4621.91,7.26
4668.13,7.40
4714.81,7.46
4761.96,7.52
4809.58,7.61
4857.67,7.77
4906.25,7.98
4955.31,8.20
5004.87,8.32
5054.91,8.52
5105.46,8.65
5156.52,8.75
5208.08,8.86
5260.16,9.09
5312.77,9.24
5365.89,9.33
5419.55,9.37
5473.75,9.36
5528.49,9.27
5583.77,9.11
5639.61,8.97
5696.00,8.76
5752.96,8.60
5810.49,8.37
5868.60,8.17
5927.28,8.02
5986.56,7.62
6046.42,7.33
6106.89,7.05
6167.96,6.78
6229.64,6.53
6291.93,6.27
6354.85,6.03
6418.40,5.76
6482.58,5.53
6547.41,5.34
6612.88,4.99
6679.01,4.68
6745.80,4.34
6813.26,4.02
6881.39,3.66
6950.21,3.37
7019.71,3.08
7089.91,2.81
7160.81,2.55
7232.41,2.28
7304.74,2.06
7377.79,1.87
7451.56,1.72
7526.08,1.64
7601.34,1.60
7677.35,1.64
7754.13,1.71
7831.67,1.83
7909.98,2.07
7989.08,2.32
8068.98,2.59
8149.67,2.87
8231.16,3.20
8313.47,3.53
8396.61,3.97
8480.57,4.42
8565.38,4.89
8651.03,5.14
8737.54,5.39
8824.92,5.64
8913.17,5.78
9002.30,5.84
9092.32,5.70
9183.25,5.48
9275.08,5.21
9367.83,4.85
9461.51,4.54
9556.12,4.24
9651.68,3.95
9748.20,3.71
9845.68,3.41
9944.14,3.13
10043.58,2.91
10144.02,2.80
10245.46,2.83
10347.91,2.95
10451.39,3.16
10555.91,3.32
10661.46,3.40
10768.08,3.40
10875.76,3.01
10984.52,2.09
11094.36,1.03
11205.31,-0.24
11317.36,-1.58
11430.53,-3.30
11544.84,-4.56
11660.29,-5.59
11776.89,-6.59
11894.66,-7.52
12013.60,-8.27
12133.74,-8.82
12255.08,-9.44
12377.63,-9.95
12501.41,-10.05
12626.42,-9.93
12752.68,-9.48
12880.21,-9.01
13009.01,-8.73
13139.10,-8.63
13270.49,-8.71
13403.20,-8.77
13537.23,-8.76
13672.60,-8.42
13809.33,-7.73
13947.42,-7.04
14086.90,-6.37
14227.77,-6.03
14370.04,-5.97
14513.74,-6.08
14658.88,-6.42
14805.47,-7.08
14953.52,-8.00
15103.06,-9.42
15254.09,-10.62
15406.63,-11.42
15560.70,-12.12
15716.30,-12.81
15873.47,-13.43
16032.20,-13.87
16192.52,-14.09
16354.45,-14.21
16517.99,-14.29
16683.17,-14.32
16850.01,-14.25
17018.51,-13.83
17188.69,-13.10
17360.58,-12.13
17534.18,-11.57
17709.53,-11.11
17886.62,-10.65
18065.49,-9.74
18246.14,-8.15
18428.60,-7.84
18612.89,-8.10
18799.02,-8.89
18987.01,-10.29
19176.88,-11.90
19368.65,-13.28
19562.33,-14.21
19757.96,-15.04
19955.54,-15.76
