frequency,raw
1008.44,-0.08
1018.53,-0.17
1028.71,-0.25
1039.00,-0.31
1049.39,-0.33
1059.88,-0.33
1070.48,-0.31
1081.19,-0.27
1092.00,-0.20
1102.92,-0.12
1113.95,-0.05
1125.09,0.02
1136.34,0.12
1147.70,0.25
1159.18,0.35
1170.77,0.45
1182.48,0.53
1194.30,0.60
1206.25,0.66
1218.31,0.73
1230.49,0.81
1242.80,0.87
1255.22,0.94
1267.78,1.04
1280.45,1.15
1293.26,1.24
1306.19,1.34
1319.25,1.41
1332.45,1.48
1345.77,1.57
1359.23,1.64
1372.82,1.70
1386.55,1.74
1400.41,1.78
1414.42,1.84
1428.56,1.87
1442.85,1.89
1457.28,1.91
1471.85,1.93
1486.57,1.95
1501.43,1.97
1516.45,2.00
1531.61,2.04
1546.93,2.08
1562.40,2.13
1578.02,2.16
1593.80,2.22
1609.74,2.30
1625.84,2.35
1642.10,2.41
1658.52,2.47
1675.10,2.52
1691.85,2.60
1708.77,2.71
1725.86,2.81
1743.12,2.89
1760.55,2.95
1778.15,3.01
1795.94,3.10
1813.90,3.20
1832.03,3.30
1850.36,3.41
1868.86,3.46
1887.55,3.50
1906.42,3.52
1925.49,3.53
1944.74,3.53
1964.19,3.55
1983.83,3.57
2003.67,3.67
2023.71,3.79
2043.94,3.89
2064.38,4.01
2085.03,4.21
2105.88,4.32
2126.94,4.48
2148.20,4.63
2169.69,4.76
2191.38,4.91
2213.30,5.14
2235.43,5.34
2257.78,5.46
2280.36,5.66
2303.17,6.09
2326.20,6.42
2349.46,6.58
2372.95,6.93
2396.68,7.14
2420.65,7.34
2444.86,7.64
2469.31,7.85
2494.00,8.05
2518.94,8.41
2544.13,8.67
2569.57,8.84
2595.27,8.97
2621.22,9.09
2647.43,9.19
2673.90,9.27
2700.64,9.32
2727.65,9.37
2754.93,9.44
2782.48,9.57
2810.30,9.70
2838.40,9.82
2866.79,9.92
2895.46,10.02
2924.41,10.11
2953.65,10.18
2983.19,10.22
3013.02,10.25
3043.15,10.26
3073.58,10.25
3104.32,10.23
3135.36,10.19
3166.72,10.14
3198.38,10.07
3230.37,9.99
3262.67,9.87
3295.30,9.64
3328.25,9.47
3361.53,9.35
3395.15,9.15
3429.10,8.93
3463.39,8.75
3498.03,8.52
3533.01,8.38
3568.34,8.24
3604.02,8.12
3640.06,8.00
3676.46,7.88
3713.22,7.76
3750.36,7.66
3787.86,7.57
3825.74,7.50
3864.00,7.41
3902.64,7.31
3941.66,7.21
3981.08,7.12
4020.89,7.00
4061.10,6.90
4101.71,6.80
4142.73,6.67
4184.15,6.54
4226.00,6.43
4268.26,6.27
4310.94,6.13
4354.05,6.04
4397.59,5.96
4441.56,5.91
4485.98,5.85
4530.84,5.81
4576.15,5.76
4621.91,5.70
4668.13,5.62
4714.81,5.52
4761.96,5.31
4809.58,5.16
4857.67,4.96
4906.25,4.83
4955.31,4.64
5004.87,4.48
5054.91,4.34
5105.46,4.20
5156.52,4.10
5208.08,4.02
5260.16,3.95
5312.77,3.95
5365.89,4.01
5419.55,4.15
5473.75,4.32
5528.49,4.48
5583.77,4.65
5639.61,4.92
5696.00,5.07
5752.96,5.32
5810.49,5.49
5868.60,5.69
5927.28,5.85
5986.56,6.14
6046.42,6.38
6106.89,6.57
6167.96,6.88
6229.64,7.04
6291.93,7.08
6354.85,7.06
6418.40,6.95
6482.58,6.74
6547.41,6.29
6612.88,5.81
6679.01,5.09
6745.80,4.39
6813.26,3.58
6881.39,2.85
6950.21,2.21
7019.71,1.36
7089.91,0.92
7160.81,0.38
7232.41,-0.03
7304.74,-0.44
7377.79,-0.79
7451.56,-1.08
7526.08,-1.34
7601.34,-1.53
7677.35,-1.61
7754.13,-1.64
7831.67,-1.62
7909.98,-1.53
7989.08,-1.35
8068.98,-1.17
8149.67,-0.96
8231.16,-0.67
8313.47,-0.28
8396.61,0.11
8480.57,0.62
8565.38,1.11
8651.03,1.62
8737.54,2.14
8824.92,2.68
8913.17,3.15
9002.30,3.62
9092.32,4.01
9183.25,4.34
9275.08,4.52
9367.83,4.48
9461.51,4.34
9556.12,3.98
9651.68,3.26
9748.20,2.46
9845.68,1.51
9944.14,0.61
10043.58,-0.99
10144.02,-1.99
10245.46,-2.88
10347.91,-3.63
10451.39,-4.40
10555.91,-4.69
10661.46,-5.05
10768.08,-5.27
10875.76,-5.35
10984.52,-5.31
11094.36,-5.22
11205.31,-5.07
11317.36,-4.88
11430.53,-4.79
11544.84,-4.83
11660.29,-4.96
11776.89,-5.28
11894.66,-5.68
12013.60,-6.21
12133.74,-6.66
12255.08,-7.05
12377.63,-7.35
12501.41,-7.41
12626.42,-7.40
12752.68,-7.29
12880.21,-7.04
13009.01,-6.61
13139.10,-6.39
13270.49,-6.31
13403.20,-6.27
13537.23,-6.29
13672.60,-6.42
13809.33,-6.67
13947.42,-7.00
14086.90,-7.36
14227.77,-7.92
14370.04,-8.64
14513.74,-9.16
