frequency,raw
677.32,-0.71
684.10,-0.60
690.94,-0.44
697.85,-0.24
704.83,-0.13
711.87,-0.06
718.99,0.02
726.18,0.27
733.44,0.41
740.78,0.54
748.19,0.64
755.67,0.70
763.23,0.61
770.86,0.51
778.57,0.41
786.35,0.36
794.22,0.30
802.16,0.18
810.18,0.06
818.28,-0.08
826.46,-0.23
834.73,-0.26
843.08,-0.16
851.51,0.20
860.02,0.46
868.62,0.63
877.31,0.93
886.08,1.08
894.94,1.19
903.89,1.34
912.93,1.50
922.06,1.63
931.28,1.71
940.59,1.73
950.00,1.73
959.50,1.41
969.09,0.81
978.78,0.32
988.57,0.11
998.46,0.02
1008.44,-0.09
1018.53,-0.20
1028.71,-0.16
1039.00,-0.10
1049.39,-0.10
1059.88,-0.52
1070.48,-1.50
1081.19,-2.13
1092.00,-2.09
1102.92,-1.66
1113.95,-1.31
1125.09,-1.11
1136.34,-0.99
1147.70,-0.74
1159.18,-0.57
1170.77,-0.49
1182.48,-0.42
1194.30,-0.34
1206.25,-0.24
1218.31,-0.12
1230.49,-0.00
1242.80,0.02
1255.22,-0.00
1267.78,-0.10
1280.45,-0.21
1293.26,-0.21
1306.19,-0.16
1319.25,-0.06
1332.45,-0.03
1345.77,-0.01
1359.23,-0.04
1372.82,-0.06
1386.55,-0.06
1400.41,-0.07
1414.42,-0.09
1428.56,-0.20
1442.85,-0.81
1457.28,-1.77
1471.85,-2.52
1486.57,-2.76
1501.43,-2.76
1516.45,-2.84
1531.61,-4.07
1546.93,-5.22
1562.40,-6.08
1578.02,-6.46
1593.80,-6.47
1609.74,-5.66
1625.84,-5.07
1642.10,-4.53
1658.52,-4.07
1675.10,-3.98
1691.85,-4.62
1708.77,-5.24
1725.86,-5.37
1743.12,-4.73
1760.55,-3.59
1778.15,-3.39
1795.94,-3.45
1813.90,-3.37
1832.03,-2.95
1850.36,-2.49
1868.86,-2.14
1887.55,-1.84
1906.42,-1.69
1925.49,-1.75
1944.74,-2.36
1964.19,-2.83
1983.83,-2.83
2003.67,-2.53
2023.71,-2.04
2043.94,-1.61
2064.38,-1.47
2085.03,-1.46
2105.88,-1.41
2126.94,-1.23
2148.20,-0.59
2169.69,-0.23
2191.38,0.06
2213.30,0.35
2235.43,0.57
2257.78,0.75
2280.36,1.04
2303.17,1.72
2326.20,2.26
2349.46,2.45
2372.95,2.57
2396.68,2.72
2420.65,3.02
2444.86,3.52
2469.31,3.87
2494.00,4.16
2518.94,4.57
2544.13,4.98
2569.57,5.25
2595.27,5.54
2621.22,5.87
2647.43,6.19
2673.90,6.25
2700.64,6.19
2727.65,6.07
2754.93,6.07
2782.48,6.20
2810.30,6.34
2838.40,6.42
2866.79,6.45
2895.46,6.37
2924.41,6.16
2953.65,6.09
2983.19,6.10
3013.02,6.09
3043.15,5.97
3073.58,5.46
3104.32,5.14
3135.36,5.04
3166.72,5.01
3198.38,4.99
3230.37,4.97
3262.67,4.89
3295.30,4.62
3328.25,4.24
3361.53,4.09
3395.15,3.61
3429.10,3.34
3463.39,3.24
3498.03,3.12
3533.01,2.87
3568.34,2.39
3604.02,1.97
3640.06,1.33
3676.46,0.77
3713.22,0.30
3750.36,-0.04
3787.86,-0.22
3825.74,-0.22
3864.00,-0.42
3902.64,-0.59
3941.66,-0.34
3981.08,-0.15
4020.89,-0.20
4061.10,-0.91
4101.71,-1.65
4142.73,-2.70
4184.15,-3.88
4226.00,-4.12
4268.26,-3.07
4310.94,-1.12
4354.05,-0.11
4397.59,0.55
4441.56,0.64
4485.98,0.45
4530.84,0.12
4576.15,-0.18
4621.91,-0.60
4668.13,-0.80
4714.81,-1.59
4761.96,-2.19
4809.58,-2.42
4857.67,-2.54
4906.25,-2.62
4955.31,-2.65
5004.87,-2.46
5054.91,-1.90
5105.46,-1.17
5156.52,-0.54
5208.08,-0.24
5260.16,-0.16
5312.77,-0.13
5365.89,-0.14
5419.55,-0.19
5473.75,-0.31
5528.49,-0.38
5583.77,-0.42
5639.61,-0.44
5696.00,-0.41
5752.96,-0.36
5810.49,-0.48
5868.60,-0.69
5927.28,-0.90
5986.56,-1.06
6046.42,-1.21
6106.89,-1.31
6167.96,-1.33
6229.64,-1.29
6291.93,-1.21
6354.85,-1.24
6418.40,-1.45
6482.58,-1.77
6547.41,-2.02
6612.88,-2.19
6679.01,-2.27
6745.80,-2.03
6813.26,-1.31
6881.39,-1.23
6950.21,-1.42
7019.71,-1.65
7089.91,-1.67
7160.81,-1.85
7232.41,-2.36
7304.74,-2.99
7377.79,-3.57
7451.56,-4.29
7526.08,-4.79
7601.34,-5.14
7677.35,-5.43
7754.13,-5.65
7831.67,-5.80
7909.98,-5.84
7989.08,-5.77
8068.98,-5.51
8149.67,-5.19
8231.16,-4.84
8313.47,-4.29
8396.61,-3.72
8480.57,-3.28
8565.38,-3.02
8651.03,-2.89
8737.54,-2.77
8824.92,-2.69
8913.17,-2.66
9002.30,-2.71
9092.32,-2.73
9183.25,-2.70
9275.08,-2.63
9367.83,-2.53
9461.51,-2.40
9556.12,-2.38
9651.68,-2.51
9748.20,-2.81
9845.68,-3.23
9944.14,-3.60
10043.58,-3.70
10144.02,-3.60
10245.46,-3.28
10347.91,-2.84
10451.39,-2.59
10555.91,-2.41
10661.46,-2.35
10768.08,-2.37
10875.76,-2.59
10984.52,-3.02
11094.36,-3.66
11205.31,-4.49
11317.36,-5.63
11430.53,-6.91
11544.84,-8.47
11660.29,-9.71
11776.89,-10.45
11894.66,-10.83
12013.60,-10.32
12133.74,-9.37
12255.08,-8.03
12377.63,-6.56
12501.41,-5.21
12626.42,-4.13
12752.68,-3.04
12880.21,-2.25
13009.01,-1.21
13139.10,-0.30
13270.49,0.24
13403.20,0.91
13537.23,1.50
13672.60,1.91
13809.33,2.18
13947.42,2.32
14086.90,2.27
14227.77,2.04
14370.04,1.26
14513.74,0.28
14658.88,-0.19
14805.47,-0.89
14953.52,-1.65
15103.06,-2.45
15254.09,-3.24
