frequency,raw
740.78,-0.00
748.19,0.02
755.67,0.08
763.23,0.23
770.86,0.35
778.57,0.42
786.35,0.42
794.22,0.43
802.16,0.44
810.18,0.46
818.28,0.48
826.46,0.46
834.73,0.44
843.08,0.42
851.51,0.41
860.02,0.43
868.62,0.45
877.31,0.48
886.08,0.49
894.94,0.46
903.89,0.42
912.93,0.38
922.06,0.37
931.28,0.39
940.59,0.27
950.00,0.18
959.50,0.11
969.09,0.10
978.78,0.07
988.57,0.04
998.46,0.00
1008.44,-0.02
1018.53,-0.06
1028.71,-0.10
1039.00,-0.18
1049.39,-0.25
1059.88,-0.30
1070.48,-0.40
1081.19,-0.54
1092.00,-0.67
1102.92,-0.74
1113.95,-0.80
1125.09,-0.83
1136.34,-0.89
1147.70,-0.98
1159.18,-1.03
1170.77,-1.06
1182.48,-1.05
1194.30,-1.02
1206.25,-0.98
1218.31,-0.92
1230.49,-0.87
1242.80,-0.82
1255.22,-0.76
1267.78,-0.64
1280.45,-0.46
1293.26,-0.29
1306.19,-0.10
1319.25,0.25
1332.45,0.52
1345.77,0.76
1359.23,1.04
1372.82,1.16
1386.55,1.41
1400.41,1.62
1414.42,1.76
1428.56,1.92
1442.85,2.13
1457.28,2.24
1471.85,2.17
1486.57,1.91
1501.43,1.53
1516.45,1.27
1531.61,0.83
1546.93,0.49
1562.40,0.32
1578.02,0.21
1593.80,0.08
1609.74,-0.17
1625.84,-0.31
1642.10,-0.43
1658.52,-0.50
1675.10,-0.52
1691.85,-0.49
1708.77,-0.43
1725.86,-0.31
1743.12,-0.03
1760.55,0.37
1778.15,0.47
1795.94,0.58
1813.90,0.77
1832.03,1.28
1850.36,1.50
1868.86,1.70
1887.55,2.07
1906.42,2.31
1925.49,2.54
1944.74,2.91
1964.19,3.16
1983.83,3.37
2003.67,3.70
2023.71,3.85
2043.94,3.87
2064.38,3.90
2085.03,3.93
2105.88,3.96
2126.94,3.99
2148.20,4.10
2169.69,4.21
2191.38,4.37
2213.30,4.60
2235.43,4.76
2257.78,4.90
2280.36,5.08
2303.17,5.38
2326.20,5.63
2349.46,5.84
2372.95,6.03
2396.68,6.20
2420.65,6.37
2444.86,6.66
2469.31,6.81
2494.00,6.97
2518.94,7.20
2544.13,7.49
2569.57,7.71
2595.27,7.87
2621.22,8.07
2647.43,8.26
2673.90,8.39
2700.64,8.66
2727.65,8.77
2754.93,8.84
2782.48,8.88
2810.30,8.92
2838.40,8.95
2866.79,8.91
2895.46,8.83
2924.41,8.71
2953.65,8.59
2983.19,8.36
3013.02,8.13
3043.15,7.94
3073.58,7.59
3104.32,7.20
3135.36,6.89
3166.72,6.58
3198.38,6.25
3230.37,5.99
3262.67,5.79
3295.30,5.44
3328.25,5.10
3361.53,4.85
3395.15,4.52
3429.10,4.15
3463.39,3.98
3498.03,3.57
3533.01,3.15
3568.34,2.89
3604.02,2.52
3640.06,2.25
3676.46,1.81
3713.22,1.47
3750.36,1.17
3787.86,0.81
3825.74,0.63
3864.00,0.46
3902.64,0.34
3941.66,0.24
3981.08,0.18
4020.89,0.11
4061.10,0.04
4101.71,-0.06
4142.73,-0.17
4184.15,-0.26
4226.00,-0.34
4268.26,-0.40
4310.94,-0.50
4354.05,-0.59
4397.59,-0.65
4441.56,-0.59
4485.98,-0.48
4530.84,-0.27
4576.15,-0.10
4621.91,0.03
4668.13,0.13
4714.81,0.23
4761.96,0.52
4809.58,0.83
4857.67,1.15
4906.25,1.52
4955.31,1.87
5004.87,2.25
5054.91,2.69
5105.46,3.09
5156.52,3.36
5208.08,3.64
5260.16,4.09
5312.77,4.43
5365.89,4.71
5419.55,5.17
5473.75,5.38
5528.49,5.56
5583.77,5.76
5639.61,5.96
5696.00,6.02
5752.96,6.07
5810.49,6.08
5868.60,6.13
5927.28,6.20
5986.56,6.47
6046.42,6.71
6106.89,6.73
6167.96,6.75
6229.64,6.76
6291.93,6.34
6354.85,5.69
6418.40,4.94
6482.58,4.30
6547.41,3.69
6612.88,2.76
6679.01,0.85
6745.80,-0.60
6813.26,-2.05
6881.39,-3.33
6950.21,-4.20
7019.71,-4.68
7089.91,-4.78
7160.81,-4.70
7232.41,-4.59
7304.74,-4.49
7377.79,-4.40
7451.56,-4.19
7526.08,-3.62
7601.34,-2.90
7677.35,-2.05
7754.13,-1.22
7831.67,-0.34
7909.98,0.57
7989.08,1.55
8068.98,2.32
8149.67,2.86
8231.16,3.27
8313.47,3.54
8396.61,3.70
8480.57,3.74
8565.38,3.77
8651.03,3.72
8737.54,3.63
8824.92,3.49
8913.17,3.29
9002.30,3.14
9092.32,2.84
9183.25,2.52
9275.08,2.21
9367.83,1.83
9461.51,1.40
9556.12,0.85
9651.68,0.34
9748.20,-0.14
9845.68,-0.65
9944.14,-1.12
10043.58,-1.58
10144.02,-2.17
10245.46,-2.55
10347.91,-3.09
10451.39,-3.63
10555.91,-3.98
10661.46,-4.47
10768.08,-4.84
10875.76,-5.35
10984.52,-6.11
11094.36,-6.48
11205.31,-6.69
11317.36,-6.77
11430.53,-6.67
11544.84,-6.56
11660.29,-6.43
11776.89,-6.17
11894.66,-5.75
12013.60,-5.23
12133.74,-4.51
12255.08,-3.87
12377.63,-3.24
12501.41,-2.66
12626.42,-2.10
12752.68,-1.68
12880.21,-1.35
13009.01,-0.98
13139.10,-0.62
13270.49,-0.28
13403.20,-0.05
13537.23,0.09
13672.60,0.06
13809.33,0.02
13947.42,-0.06
14086.90,-0.15
14227.77,-0.30
14370.04,-0.58
14513.74,-0.93
14658.88,-1.21
14805.47,-1.72
14953.52,-2.23
15103.06,-2.45
15254.09,-2.30
15406.63,-1.98
15560.70,-1.79
15716.30,-1.80
15873.47,-1.96
16032.20,-2.27
16192.52,-2.49
16354.45,-3.11
16517.99,-3.82
16683.17,-4.14
16850.01,-4.43
17018.51,-4.65
17188.69,-4.27
17360.58,-3.67
17534.18,-3.12
17709.53,-2.52
17886.62,-1.71
18065.49,-0.66
18246.14,0.76
18428.60,1.36
18612.89,1.58
18799.02,1.49
18987.01,0.69
19176.88,-0.52
19368.65,-1.64
19562.33,-2.45
19757.96,-3.25
19955.54,-4.01
