frequency,raw
677.32,-0.29
684.10,-0.25
690.94,-0.22
697.85,-0.19
704.83,-0.16
711.87,-0.16
718.99,-0.17
726.18,-0.20
733.44,-0.19
740.78,-0.16
748.19,-0.11
755.67,-0.06
763.23,0.03
770.86,0.13
778.57,0.20
786.35,0.26
794.22,0.30
802.16,0.34
810.18,0.36
818.28,0.37
826.46,0.39
834.73,0.43
843.08,0.46
851.51,0.49
860.02,0.50
868.62,0.50
877.31,0.49
886.08,0.47
894.94,0.44
903.89,0.37
912.93,0.31
922.06,0.23
931.28,0.13
940.59,0.05
950.00,0.03
959.50,0.01
969.09,-0.01
978.78,-0.04
988.57,-0.05
998.46,-0.01
1008.44,0.04
1018.53,0.08
1028.71,0.13
1039.00,0.18
1049.39,0.23
1059.88,0.27
1070.48,0.32
1081.19,0.38
1092.00,0.39
1102.92,0.38
1113.95,0.34
1125.09,0.30
1136.34,0.26
1147.70,0.21
1159.18,0.15
1170.77,0.04
1182.48,-0.17
1194.30,-0.44
1206.25,-0.61
1218.31,-0.73
1230.49,-0.85
1242.80,-0.97
1255.22,-1.14
1267.78,-1.40
1280.45,-1.71
1293.26,-2.06
1306.19,-2.50
1319.25,-3.01
1332.45,-3.26
1345.77,-3.50
1359.23,-3.63
1372.82,-3.71
1386.55,-3.67
1400.41,-3.60
1414.42,-3.48
1428.56,-3.19
1442.85,-2.83
1457.28,-2.47
1471.85,-2.28
1486.57,-2.15
1501.43,-2.04
1516.45,-1.96
1531.61,-1.88
1546.93,-1.80
1562.40,-1.78
1578.02,-1.79
1593.80,-1.76
1609.74,-1.73
1625.84,-1.72
1642.10,-1.70
1658.52,-1.63
1675.10,-1.52
1691.85,-1.30
1708.77,-1.02
1725.86,-0.76
1743.12,-0.45
1760.55,-0.08
1778.15,0.14
1795.94,0.26
1813.90,0.46
1832.03,0.72
1850.36,0.87
1868.86,1.03
1887.55,1.19
1906.42,1.35
1925.49,1.59
1944.74,1.76
1964.19,1.92
1983.83,2.09
2003.67,2.27
2023.71,2.57
2043.94,2.74
2064.38,2.94
2085.03,3.33
2105.88,3.57
2126.94,3.80
2148.20,4.15
2169.69,4.40
2191.38,4.57
2213.30,4.78
2235.43,4.91
2257.78,5.01
2280.36,5.17
2303.17,5.45
2326.20,5.65
2349.46,5.82
2372.95,6.06
2396.68,6.26
2420.65,6.41
2444.86,6.63
2469.31,6.78
2494.00,6.88
2518.94,7.14
2544.13,7.30
2569.57,7.42
2595.27,7.54
2621.22,7.69
2647.43,7.80
2673.90,7.91
2700.64,8.03
2727.65,8.11
2754.93,8.17
2782.48,8.22
2810.30,8.25
2838.40,8.28
2866.79,8.25
2895.46,8.21
2924.41,8.14
2953.65,8.07
2983.19,7.94
3013.02,7.81
3043.15,7.66
3073.58,7.46
3104.32,7.22
3135.36,6.96
3166.72,6.66
3198.38,6.35
3230.37,6.04
3262.67,5.77
3295.30,5.33
3328.25,4.87
3361.53,4.52
3395.15,3.85
3429.10,3.31
3463.39,2.98
3498.03,2.25
3533.01,1.28
3568.34,0.57
3604.02,-0.01
3640.06,-0.79
3676.46,-1.85
3713.22,-2.32
3750.36,-3.12
3787.86,-3.82
3825.74,-4.00
3864.00,-4.07
3902.64,-4.01
3941.66,-3.72
3981.08,-3.37
4020.89,-3.03
4061.10,-2.76
4101.71,-2.53
4142.73,-2.25
4184.15,-1.86
4226.00,-1.68
4268.26,-1.57
4310.94,-1.48
4354.05,-1.42
4397.59,-1.37
4441.56,-1.34
4485.98,-1.31
4530.84,-1.29
4576.15,-1.25
4621.91,-1.21
4668.13,-1.16
4714.81,-1.11
4761.96,-1.05
4809.58,-0.98
4857.67,-0.89
4906.25,-0.80
4955.31,-0.70
5004.87,-0.57
5054.91,-0.43
5105.46,-0.28
5156.52,-0.05
5208.08,0.27
5260.16,0.67
5312.77,1.22
5365.89,2.03
5419.55,3.26
5473.75,4.10
5528.49,5.02
5583.77,5.83
5639.61,6.52
5696.00,7.25
5752.96,7.82
5810.49,8.27
5868.60,8.56
5927.28,8.63
5986.56,8.40
6046.42,7.86
6106.89,7.11
6167.96,6.05
6229.64,4.93
6291.93,3.40
6354.85,2.09
6418.40,0.75
6482.58,-0.08
6547.41,-1.10
6612.88,-2.35
6679.01,-2.91
6745.80,-2.88
6813.26,-2.58
6881.39,-2.26
6950.21,-2.01
7019.71,-1.81
7089.91,-1.61
7160.81,-1.47
7232.41,-1.37
7304.74,-1.28
7377.79,-1.22
7451.56,-1.15
7526.08,-0.98
7601.34,-0.71
7677.35,-0.38
7754.13,0.01
7831.67,0.37
7909.98,0.80
7989.08,1.26
8068.98,1.65
8149.67,1.98
8231.16,2.24
8313.47,2.56
8396.61,2.92
8480.57,3.16
8565.38,3.41
8651.03,3.65
8737.54,3.87
8824.92,3.99
8913.17,4.06
9002.30,4.09
9092.32,3.92
9183.25,3.71
9275.08,3.29
9367.83,2.67
9461.51,2.05
9556.12,1.54
9651.68,0.81
9748.20,0.35
9845.68,-0.50
9944.14,-1.27
10043.58,-1.68
10144.02,-2.37
10245.46,-2.87
10347.91,-3.98
10451.39,-4.32
10555.91,-4.55
10661.46,-4.72
10768.08,-4.79
10875.76,-4.78
10984.52,-4.72
11094.36,-4.57
11205.31,-4.39
11317.36,-4.22
11430.53,-3.90
11544.84,-3.66
11660.29,-3.42
11776.89,-3.36
11894.66,-3.41
12013.60,-3.55
12133.74,-4.03
12255.08,-4.50
12377.63,-5.18
12501.41,-5.81
12626.42,-6.59
12752.68,-7.35
12880.21,-7.82
13009.01,-7.88
13139.10,-7.78
13270.49,-7.54
13403.20,-7.19
13537.23,-6.82
13672.60,-6.39
13809.33,-5.86
13947.42,-5.37
14086.90,-4.82
14227.77,-4.38
14370.04,-4.05
14513.74,-3.95
14658.88,-3.91
14805.47,-4.03
14953.52,-4.50
15103.06,-5.43
15254.09,-6.07
15406.63,-6.71
15560.70,-7.21
